recurrence_band,hybrid_work_intensity,full_nonself_weight,full_nonself_weight_share,full_positive_edge_count,candidate_weight,candidate_weight_share,candidate_edge_count,retained_mass_share
5-7,0.64,47352353.63127732,0.7368712409763883,337724,44025898.01317341,0.6851067711793444,50000,0.9297509972998108
3-4,0.84,38288651.56745588,0.7811563938840373,361842,35182510.82879614,0.7177856143194138,50000,0.9188756821799423
11-13,0.16,39839684.252754696,0.5883734104868664,208837,38654166.15642803,0.5708650557242011,50000,0.9702427838331903
8-10,0.4,52804724.40297309,0.722612820937624,322018,48816932.627665915,0.6680413882363371,50000,0.924480397911467
14,0.0,10234540.346094945,0.407217484613623,90849,10147336.242669478,0.4037477600882352,50000,0.991479431369017
1-2,1.0,95466967.76888104,0.8652500223887516,490182,79456032.03880315,0.7201373952395175,50000,0.8322882133552281
